Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",274012201,4456412,,,,,,,,,,11943936,2680168709,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",279076501,4610537,,,,,,,,,,11943936,2590573722,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",283690462,53087161,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [sync]",336779575,8529947,,,,,,,,,,11943936,1400235663,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",346672189,4235723,,,,,,,,,,11943936,2819810455,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",351464180,4311889,,,,,,,,,,11943936,2770000804,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",355779557,52965423,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [sync]",408746805,8181600,,,,,,,,,,11943936,1459853329,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",418347748,5286941,,,,,,,,,,11943936,2259139264,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",424201774,4239275,,,,,,,,,,11943936,2817447794,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",428444666,52951054,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [sync]",481397512,8287880,,,,,,,,,,11943936,1441132834,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",491002167,4183719,,,,,,,,,,11943936,2854860950,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",495745098,4276719,,,,,,,,,,11943936,2792780166,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",500025273,52903339,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [sync]",552930404,8766573,,,,,,,,,,11943936,1362440716,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",563047323,4221578,,,,,,,,,,11943936,2829258632,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",567826993,4224458,,,,,,,,,,11943936,2827329801,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",572054940,52915531,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [sync]",624972263,7338014,,,,,,,,,,11943936,1627679641,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",633660463,4214026,,,,,,,,,,11943936,2834328976,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",638527596,4884638,,,,,,,,,,11943936,2445203922,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",643415690,52928108,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [sync]",696345623,7859814,,,,,,,,,,11943936,1519620693,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",705536038,4554884,,,,,,,,,,11943936,2622226164,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",710692249,4554084,,,,,,,,,,11943936,2622686801,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",715249757,52920236,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [sync]",768171817,9029795,,,,,,,,,,11943936,1322725045,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",778663774,4446492,,,,,,,,,,11943936,2686148091,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",783695208,4491263,,,,,,,,,,11943936,2659371317,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",788189927,52934157,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [sync]",841125940,7796450,,,,,,,,,,11943936,1531971089,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",850427340,4482079,,,,,,,,,,11943936,2664820499,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",855512922,4708144,,,,,,,,,,11943936,2536867181,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",860224522,52896874,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [sync]",913123285,7954350,,,,,,,,,,11943936,1501560278,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",922440813,5088110,,,,,,,,,,11943936,2347420948,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",928097448,4340275,,,,,,,,,,11943936,2751884615,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=16>(float*, float*, float*, int, int)",932441212,52964943,108,108,1,16,16,1,13,2084,0,,,0,0,20736,0,0,0,0,4478976,0,82944,4478976,0,0,0,4478976,0,0
"Memcpy DtoH [sync]",985408331,8768878,,,,,,,,,,11943936,1362082583,,,,,,,,,,,,,,,,,
