Rozmiar macierzy: 224, Rozmiar bloku: 8, Liczba obliczanych macierzy: 1, Wersja kodu: 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",93883652,45092,,,,,,,,,,200704,4450989088,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",94104759,42915,,,,,,,,,,200704,4676779680,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",94151099,274743,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,71253
"Memcpy DtoH [sync]",94427666,39620,,,,,,,,,,200704,5065724381,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rozmiar macierzy: 224, Rozmiar bloku: 8, Liczba obliczanych macierzy: 5, Wersja kodu: 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",102093682,45028,,,,,,,,,,200704,4457315448,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",102318693,42980,,,,,,,,,,200704,4669706840,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",102365129,275863,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,70736
"Memcpy DtoH [sync]",102642816,39428,,,,,,,,,,200704,5090392614,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",102944250,39683,,,,,,,,,,200704,5057682130,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",103144363,40131,,,,,,,,,,200704,5001221001,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",103188175,273367,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,70598
"Memcpy DtoH [sync]",103463334,39395,,,,,,,,,,200704,5094656682,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",103767968,39683,,,,,,,,,,200704,5057682130,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",103957648,40131,,,,,,,,,,200704,5001221001,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",104001235,275544,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,71741
"Memcpy DtoH [sync]",104278603,38339,,,,,,,,,,200704,5234982654,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",104576132,40227,,,,,,,,,,200704,4989285803,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",104778645,40740,,,,,,,,,,200704,4926460481,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",104822873,270615,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,72146
"Memcpy DtoH [sync]",105095312,37059,,,,,,,,,,200704,5415796432,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",105384392,40036,,,,,,,,,,200704,5013088220,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",105574104,39684,,,,,,,,,,200704,5057554681,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",105617244,273047,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,69547
"Memcpy DtoH [sync]",105892115,38276,,,,,,,,,,200704,5243599122,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rozmiar macierzy: 224, Rozmiar bloku: 8, Liczba obliczanych macierzy: 10, Wersja kodu: 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [sync]",113603231,46084,,,,,,,,,,200704,4355177501,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",113831506,44547,,,,,,,,,,200704,4505443688,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",113879542,270870,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,70244
"Memcpy DtoH [sync]",114152236,39364,,,,,,,,,,200704,5098668834,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",114457062,39619,,,,,,,,,,200704,5065852242,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",115601637,45604,,,,,,,,,,200704,4401017454,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",115650697,273207,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,70445
"Memcpy DtoH [sync]",115925696,39459,,,,,,,,,,200704,5086393471,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",116225593,39715,,,,,,,,,,200704,5053606949,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",116414025,45411,,,,,,,,,,200704,4419722093,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",116462893,268662,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,72131
"Memcpy DtoH [sync]",116733379,40612,,,,,,,,,,200704,4941987589,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",117028380,40131,,,,,,,,,,200704,5001221001,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",117233293,40803,,,,,,,,,,200704,4918854005,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",117277553,274166,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,72017
"Memcpy DtoH [sync]",117553768,36995,,,,,,,,,,200704,5425165562,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",117839839,40068,,,,,,,,,,200704,5009084556,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",118026575,39715,,,,,,,,,,200704,5053606949,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",118069747,269238,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,70840
"Memcpy DtoH [sync]",118340809,38275,,,,,,,,,,200704,5243736120,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",118635426,40707,,,,,,,,,,200704,4930454221,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",118831346,39619,,,,,,,,,,200704,5065852242,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",118874422,272470,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,72162
"Memcpy DtoH [sync]",119148716,38276,,,,,,,,,,200704,5243599122,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",119441157,39683,,,,,,,,,,200704,5057682130,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",119627156,40228,,,,,,,,,,200704,4989161777,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",119670840,276279,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,71577
"Memcpy DtoH [sync]",119948911,38307,,,,,,,,,,200704,5239355731,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",120236551,39619,,,,,,,,,,200704,5065852242,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",120429975,40195,,,,,,,,,,200704,4993257867,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",120473691,273398,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,70890
"Memcpy DtoH [sync]",120748914,37091,,,,,,,,,,200704,5411123992,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",121032393,40131,,,,,,,,,,200704,5001221001,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",121219225,40803,,,,,,,,,,200704,4918854005,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",121263516,267639,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,70830
"Memcpy DtoH [sync]",121532979,38307,,,,,,,,,,200704,5239355731,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",121815946,40100,,,,,,,,,,200704,5005087281,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",122009466,39620,,,,,,,,,,200704,5065724381,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",122052542,274583,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,70416
"Memcpy DtoH [sync]",122329173,37859,,,,,,,,,,200704,5301355027,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rozmiar macierzy: 224, Rozmiar bloku: 8, Liczba obliczanych macierzy: 1, Wersja kodu: 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [async]",106578977,62757,,,,,,,,,,200704,3198113357,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",106641958,92392,,,,,,,,,,200704,2172309290,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",107211734,276375,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,72256
"Memcpy DtoH [async]",107503438,39844,,,,,,,,,,200704,5037245256,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rozmiar macierzy: 224, Rozmiar bloku: 8, Liczba obliczanych macierzy: 5, Wersja kodu: 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [async]",108231742,55525,,,,,,,,,,200704,3614660063,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",108287523,96936,,,,,,,,,,200704,2070479491,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",108384715,655895,,,,,,,,,,200704,306000198,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",108883893,282072,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,69979
"Memcpy HtoD [async]",109042370,53701,,,,,,,,,,200704,3737435057,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",109096295,81671,,,,,,,,,,200704,2457469603,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",109178190,203057,,,,,,,,,,200704,988412120,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",109222481,277784,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,70964
"Memcpy HtoD [async]",109383039,55557,,,,,,,,,,200704,3612578072,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",109438852,86183,,,,,,,,,,200704,2328811946,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",109525291,197136,,,,,,,,,,200704,1018099180,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",109560654,279991,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,71723
"Memcpy HtoD [async]",109724251,56389,,,,,,,,,,200704,3559275745,,,,,,,,,,,,,,,,,
"Memcpy DtoH [async]",109813411,69734,,,,,,,,,,200704,2878136920,,,,,,,,,,,,,,,,,
"Memcpy DtoH [async]",109884041,178735,,,,,,,,,,200704,1122913810,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",109900106,279192,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,71124
"Memcpy DtoH [async]",110065208,39331,,,,,,,,,,200704,5102946784,,,,,,,,,,,,,,,,,
"void matrixMulCUDA<int=8>(float*, float*, float*, int, int)",110185858,273527,28,28,1,8,8,1,13,548,0,,,0,0,0,704,0,0,0,0,0,1408,39424,0,39424,0,39424,0,70802
"Memcpy DtoH [async]",110287499,39235,,,,,,,,,,200704,5115432649,,,,,,,,,,,,,,,,,
"Memcpy DtoH [async]",110468730,39939,,,,,,,,,,200704,5025263526,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rozmiar macierzy: 224, Rozmiar bloku: 8, Liczba obliczanych macierzy: 10, Wersja kodu: 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,gld coalesced,gld uncoalesced,warp serialize
"Memcpy HtoD [async]",100361548,47364,,,,,,,,,,200704,4237479942,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",100409136,79238,,,,,,,,,,200704,2532926121,,,,,,,,,,,,,,,,,
"Memcpy HtoD [async]",100488598,670169,,,,,,,,,,200704,299482667,,,,,,,,,,,,,,,,,
